epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9587,1.11992,2.90889,1.75777,0.62003,0.46012,0.56092,0.37358,1.11613,1.34355,2.00467,0.0033216,0.0033216,0.0033216
2,105.836,1.12941,1.39998,1.71012,0.63672,0.70631,0.73833,0.48095,1.09267,1.00073,2.00544,0.00665483,0.00665483,0.00665483
3,157.477,1.2092,1.2194,1.79891,0.44764,0.49814,0.46441,0.23032,1.66,1.75703,2.73734,0.00998765,0.00998765,0.00998765
4,208.064,1.31624,1.21252,1.87631,0.58738,0.48336,0.52439,0.2821,1.49518,1.35153,2.50491,0.00999863,0.00999863,0.00999863
5,258.737,1.32454,1.15141,1.88538,0.43749,0.61439,0.56023,0.33222,1.36397,1.30296,2.2562,0.00999756,0.00999756,0.00999756
6,309.002,1.2625,1.06208,1.81816,0.75345,0.64733,0.76698,0.47282,1.21577,0.91186,2.12711,0.00999618,0.00999618,0.00999618
7,358.382,1.24675,0.94907,1.81888,0.56972,0.57094,0.60647,0.34719,1.52598,1.14082,2.43397,0.0099945,0.0099945,0.0099945
8,406.176,1.21301,0.91972,1.78548,0.58277,0.61357,0.66976,0.39062,1.41623,1.07267,2.32198,0.00999252,0.00999252,0.00999252
9,454.246,1.18808,0.86639,1.74678,0.76307,0.82651,0.88112,0.60672,1.05027,0.64081,1.91136,0.00999023,0.00999023,0.00999023
10,502.889,1.15468,0.79856,1.72932,0.81427,0.71705,0.83902,0.55372,1.18375,0.71438,2.0654,0.00998764,0.00998764,0.00998764
11,550.851,1.1652,0.78447,1.72445,0.65296,0.81076,0.83324,0.55132,1.09841,0.65591,1.95335,0.00998474,0.00998474,0.00998474
12,598.7,1.12961,0.78077,1.68687,0.79733,0.79137,0.87493,0.59983,1.04686,0.59807,1.90365,0.00998154,0.00998154,0.00998154
13,646.791,1.12606,0.76174,1.6903,0.79424,0.91691,0.93402,0.65875,0.9771,0.52576,1.82146,0.00997803,0.00997803,0.00997803
14,695.394,1.09619,0.70962,1.66121,0.78385,0.8484,0.86168,0.59774,1.03642,0.62795,1.8726,0.00997422,0.00997422,0.00997422
15,743.291,1.08202,0.69475,1.64529,0.79734,0.91124,0.93032,0.64632,1.00988,0.48572,1.83997,0.00997011,0.00997011,0.00997011
